step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
120,3,0,5,0,19.0,0,20.3,0.0,24.3,0.0,0.8,0.0,NS,MEDIUM,0,6,19.0,1
121,1,0,5,0,3.0,0,10.1,0.0,10.1,0.0,-0.98,0.0,NS,LIGHT,1,5,3.0,1
122,1,0,3,0,1.0,0,7.3,0.0,7.3,0.0,-1.78,0.0,NS,VERY_LIGHT,2,5,1.0,0
123,0,0,3,1,0.0,0.0,3.6,1.2,3.6,2.7,-4.9,0.3,NS,VERY_LIGHT,3,6,0.0,0
124,0,0,4,1,0.0,0.0,4.8,1.2,4.8,2.7,-3.88,0.3,NS,VERY_LIGHT,4,7,0.0,0
125,0,0,4,2,0.0,0.0,4.8,2.4,4.8,5.4,-1.32,0.6,NS,VERY_LIGHT,5,8,0.0,0
126,0,0,2,2,0.0,0.0,2.4,2.4,2.4,5.4,-1.23,0.6,NS,VERY_LIGHT,6,8,0.0,0
127,0,0,3,2,0.0,0.0,3.6,2.4,3.6,3.9,0.0,0.3,NS,VERY_LIGHT,7,9,0.0,0
128,0,1,3,2,0.0,1.0,3.6,6.1,3.6,12.23,-0.3,1.23,NS,VERY_LIGHT,8,9,1.0,0
129,0,2,1,2,0.0,3.0,1.2,10.0,1.2,19.5,-0.9,1.9,NS,VERY_LIGHT,9,9,3.0,0
130,0,2,1,2,0.0,5.0,1.2,10.4,1.2,20.4,-0.3,2.0,NS,VERY_LIGHT,10,9,5.0,0
131,0,2,2,2,0.0,7.0,2.4,10.8,2.4,21.3,-0.3,2.1,NS,VERY_LIGHT,11,8,7.0,2
132,0,2,2,2,0.0,9.0,2.4,11.2,2.4,17.58,-0.3,1.28,NS,VERY_LIGHT,12,9,9.0,0
133,0,2,2,2,0.0,11.0,2.4,11.6,3.9,13.6,0.3,0.4,NS,VERY_LIGHT,13,7,11.0,2
134,0,3,0,3,0,13.0,0.0,16.7,0.0,24.57,-0.3,1.57,NS,EMPTY,14,8,13.0,0
135,0,2,0,3,0,15.0,0.0,13.6,0.0,17.1,-0.6,0.7,EW,LIGHT,0,6,15.0,2
136,0,0,0,3,0,0.0,0.0,3.6,0.0,3.6,-0.6,-1.9,EW,VERY_LIGHT,1,6,0.0,0
137,0,0,0,1,0,0.0,0.0,1.2,0.0,1.2,-0.6,-2.6,EW,VERY_LIGHT,2,4,0.0,2
138,0,0,1,2,0.0,0.0,1.2,2.4,2.7,2.4,0.3,-3.57,EW,VERY_LIGHT,3,6,0.0,0
139,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-2.8,EW,VERY_LIGHT,4,6,0.0,1
140,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-0.3,EW,VERY_LIGHT,5,6,0.0,0
141,0,0,2,1,0.0,0.0,2.4,1.2,5.4,1.2,0.6,0.0,EW,VERY_LIGHT,6,6,0.0,0
142,0,0,2,0,0.0,0,2.4,0.0,3.9,0.0,0.3,-0.6,EW,EMPTY,7,6,0.0,0
143,1,0,2,0,1.0,0,6.1,0.0,10.73,0.0,0.93,-0.6,EW,EMPTY,8,6,1.0,0
144,3,0,3,0,3.0,0,14.7,0.0,30.07,0.0,3.07,-0.6,EW,EMPTY,9,7,3.0,0
145,2,0,3,1,5.0,0.0,11.6,1.2,23.1,1.2,2.3,0.0,EW,VERY_LIGHT,10,6,5.0,2
146,2,0,3,1,7.0,0.0,12.0,1.2,24.0,2.7,2.4,0.3,EW,VERY_LIGHT,11,6,7.0,0
147,3,0,4,1,9.0,0.0,17.1,1.2,30.85,2.7,2.75,0.3,EW,VERY_LIGHT,12,6,9.0,1
148,2,0,4,0,11.0,0,14.0,0.0,14.0,0.0,-0.17,0.0,EW,EMPTY,13,5,11.0,1
149,2,0,4,0,13.0,0,14.4,0.0,17.9,0.0,0.7,-0.3,EW,EMPTY,14,5,13.0,0
150,4,0,5,1,16.0,0.0,23.2,1.2,37.2,1.2,2.8,0.0,NS,MEDIUM,0,7,16.0,0
151,1,0,5,1,2.0,0.0,9.9,1.2,9.9,1.2,-1.8,0.0,NS,LIGHT,1,7,2.0,0
152,0,0,3,1,0.0,0.0,3.6,1.2,3.6,2.7,-2.6,0.3,NS,VERY_LIGHT,2,6,0.0,1
