step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
59,6,0,6,2,52.0,0.0,38.6,2.4,44.6,2.4,1.2,-0.3,EW,VERY_LIGHT,14,13,52.0,0
60,6,0,6,2,58.0,0.0,39.8,2.4,45.8,2.4,1.2,0.0,NS,HEAVY,0,12,58.0,1
61,4,0,6,2,37.0,0.0,28.6,2.4,28.6,2.4,-1.9,0.0,NS,MEDIUM,1,11,37.0,1
62,2,1,4,3,19.0,1.0,15.6,7.3,15.6,11.93,-5.45,0.93,NS,LIGHT,2,10,20.0,2
63,0,2,4,3,0.0,3.0,4.8,11.2,4.8,22.2,-8.45,2.2,NS,VERY_LIGHT,3,10,3.0,0
64,0,2,4,3,0.0,5.0,4.8,11.6,4.8,23.1,-8.75,2.3,NS,VERY_LIGHT,4,9,5.0,1
65,0,3,4,4,0.0,7.0,4.8,16.7,4.8,34.58,-5.95,3.57,NS,VERY_LIGHT,5,10,7.0,0
66,0,2,3,4,0.0,9.0,3.6,13.6,3.6,21.48,-3.0,1.58,NS,VERY_LIGHT,6,11,9.0,0
67,0,2,4,5,0.0,11.0,4.8,15.2,4.8,20.2,0.0,1.0,NS,VERY_LIGHT,7,13,11.0,0
68,0,2,4,5,0.0,13.0,4.8,15.6,4.8,20.6,0.0,1.0,NS,VERY_LIGHT,8,13,13.0,0
69,0,2,2,5,0.0,15.0,2.4,16.0,2.4,16.0,-0.6,-0.17,NS,VERY_LIGHT,9,13,15.0,0
70,0,3,4,5,0.0,18.0,4.8,20.1,6.3,28.23,0.3,1.62,NS,VERY_LIGHT,10,14,18.0,1
71,0,3,3,5,0.0,21.0,3.6,20.7,3.6,27.57,-0.3,1.38,NS,VERY_LIGHT,11,13,21.0,1
72,0,4,2,6,0.0,25.0,2.4,26.2,2.4,39.45,-0.6,2.65,NS,VERY_LIGHT,12,13,25.0,1
73,0,6,2,7,0.0,30.0,2.4,35.4,2.4,59.65,0.0,4.85,NS,VERY_LIGHT,13,14,30.0,1
74,0,5,2,7,0.0,35.0,2.4,32.9,2.4,48.9,-0.6,3.2,NS,VERY_LIGHT,14,14,35.0,1
75,0,5,2,7,0.0,40.0,2.4,33.9,2.4,50.4,-0.3,3.3,EW,HEAVY,0,13,40.0,1
76,0,3,4,7,0.0,16.0,4.8,22.1,7.8,22.1,0.6,-1.03,EW,MEDIUM,1,14,16.0,1
77,0,2,4,5,0.0,7.0,4.8,14.4,7.8,14.4,0.6,-5.25,EW,LIGHT,2,13,7.0,1
78,1,1,6,5,1.0,2.0,10.9,9.9,21.52,9.9,2.12,-5.75,EW,LIGHT,3,14,3.0,1
79,2,0,6,5,3.0,0.0,14.8,6.0,30.3,6.0,3.1,-6.97,EW,VERY_LIGHT,4,13,3.0,1
80,3,0,6,6,6.0,0.0,18.9,7.2,36.52,7.2,3.52,-3.72,EW,VERY_LIGHT,5,14,6.0,0
81,5,0,6,4,11.0,0.0,26.9,4.8,54.52,4.8,5.52,-2.4,EW,VERY_LIGHT,6,14,11.0,0
82,6,0,6,4,17.0,0.0,31.6,4.8,57.48,4.8,5.18,-1.28,EW,VERY_LIGHT,7,14,17.0,0
83,6,0,6,4,23.0,0.0,32.8,4.8,55.3,4.8,4.5,-0.3,EW,VERY_LIGHT,8,14,23.0,0
84,6,0,6,3,29.0,0.0,34.0,3.6,52.88,3.6,3.78,-0.9,EW,VERY_LIGHT,9,15,29.0,0
85,6,0,6,3,35.0,0.0,35.2,3.6,45.58,3.6,2.08,-0.3,EW,VERY_LIGHT,10,15,35.0,0
86,6,0,6,4,41.0,0.0,36.4,4.8,42.4,4.8,1.2,0.0,EW,VERY_LIGHT,11,14,41.0,2
87,6,0,6,3,47.0,0.0,37.6,3.6,43.6,3.6,1.2,-0.3,EW,VERY_LIGHT,12,15,47.0,0
88,6,0,6,3,53.0,0.0,38.8,3.6,44.8,3.6,1.2,0.0,EW,VERY_LIGHT,13,13,53.0,2
89,6,0,6,2,59.0,0.0,40.0,2.4,46.0,2.4,1.2,-0.3,EW,VERY_LIGHT,14,13,59.0,0
90,6,0,6,2,65.0,0.0,41.2,2.4,47.2,2.4,1.2,-0.6,NS,HEAVY,0,12,65.0,2
91,4,0,6,2,44.0,0.0,30.0,2.4,30.0,2.4,-1.9,-0.3,NS,MEDIUM,1,12,44.0,0
92,2,0,4,2,23.0,0.0,16.4,2.4,16.4,2.4,-5.6,-0.3,NS,LIGHT,2,10,23.0,2
93,0,0,4,3,0.0,0.0,4.8,3.6,4.8,5.1,-8.8,0.3,NS,VERY_LIGHT,3,11,0.0,0
94,0,0,4,3,0.0,0.0,4.8,3.6,4.8,5.1,-9.1,0.3,NS,VERY_LIGHT,4,9,0.0,2
95,0,1,4,4,0.0,1.0,4.8,8.5,4.8,16.12,-6.3,1.52,NS,VERY_LIGHT,5,10,1.0,0
96,0,2,3,4,0.0,3.0,3.6,12.4,3.6,24.9,-3.2,2.5,NS,VERY_LIGHT,6,11,3.0,0
97,0,2,4,4,0.0,5.0,4.8,12.8,4.8,24.3,0.0,2.3,NS,VERY_LIGHT,7,12,5.0,0
98,0,2,4,4,0.0,7.0,4.8,13.2,4.8,25.2,0.0,2.4,NS,VERY_LIGHT,8,12,7.0,0
99,0,3,2,4,0.0,10.0,2.4,17.3,2.4,28.3,-0.6,2.2,NS,VERY_LIGHT,9,12,10.0,0
100,0,4,3,6,0.0,13.0,3.6,23.8,3.6,38.05,0.0,2.85,NS,VERY_LIGHT,10,13,13.0,2
101,0,3,4,6,0.0,16.0,4.8,20.9,4.8,31.02,0.0,2.02,NS,VERY_LIGHT,11,14,16.0,0
102,0,4,2,6,0.0,20.0,2.4,25.2,2.4,40.2,-0.6,3.0,NS,VERY_LIGHT,12,13,20.0,1
103,0,5,3,6,0.0,25.0,3.6,29.7,5.1,45.2,0.3,3.1,NS,VERY_LIGHT,13,13,25.0,1
104,0,5,1,6,0.0,30.0,1.2,30.7,1.2,39.32,-0.6,1.72,NS,VERY_LIGHT,14,12,30.0,1
105,0,5,3,6,0.0,35.0,3.6,31.7,3.6,45.2,-0.3,2.7,EW,HEAVY,0,13,35.0,1
106,0,3,3,6,0.0,20.0,3.6,21.7,5.1,21.7,0.3,-0.88,EW,MEDIUM,1,12,20.0,1
107,0,2,5,4,0.0,11.0,6.0,14.0,9.0,14.0,0.6,-3.92,EW,LIGHT,2,13,11.0,1
108,1,1,5,5,1.0,6.0,9.7,10.7,20.32,10.7,2.12,-5.0,EW,LIGHT,3,13,7.0,1
109,2,0,6,5,3.0,0.0,14.8,6.0,28.8,6.0,2.8,-6.42,EW,VERY_LIGHT,4,13,3.0,1
110,3,0,6,5,6.0,0.0,18.9,6.0,38.02,6.0,3.82,-3.92,EW,VERY_LIGHT,5,13,6.0,0
111,4,0,6,3,10.0,0.0,23.2,3.6,44.7,3.6,4.3,-2.6,EW,VERY_LIGHT,6,13,10.0,0
112,5,0,6,3,15.0,0.0,27.7,3.6,50.2,3.6,4.5,-1.77,EW,VERY_LIGHT,7,13,15.0,0
113,6,0,6,3,21.0,0.0,32.4,3.6,54.4,3.6,4.4,-0.6,EW,VERY_LIGHT,8,13,21.0,0
114,6,0,6,2,27.0,0.0,33.6,2.4,51.98,2.4,3.68,-0.9,EW,VERY_LIGHT,9,14,27.0,0
