step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
111,0,0,6,0,0.0,0,7.2,0.0,NS,VERY_LIGHT,4,10,0.0,1
112,0,0,6,2,0.0,0.0,7.2,2.4,NS,VERY_LIGHT,5,12,0.0,0
113,0,0,7,2,0.0,0.0,8.4,2.4,NS,LIGHT,6,14,1.0,0
114,1,0,6,2,1.0,0.0,10.9,2.4,NS,LIGHT,7,14,4.0,0
115,2,0,6,2,3.0,0.0,14.8,2.4,NS,LIGHT,8,14,8.0,0
116,3,2,5,2,6.0,2.0,17.7,9.8,NS,LIGHT,9,14,15.0,0
117,4,2,5,2,10.0,4.0,22.0,10.2,NS,MEDIUM,10,14,23.0,1
118,4,2,6,2,14.0,6.0,24.0,10.6,NS,MEDIUM,11,14,31.0,1
119,4,2,6,2,18.0,8.0,24.8,11.0,NS,MEDIUM,12,14,39.0,1
120,4,2,5,2,22.0,10.0,24.4,11.4,NS,MEDIUM,13,14,47.0,0
121,5,2,6,2,26.0,12.0,29.9,11.8,NS,MEDIUM,14,14,47.0,2
122,2,2,6,2,16.0,14.0,17.4,12.2,NS,LIGHT,15,14,40.0,0
123,2,2,6,2,18.0,16.0,17.8,12.6,NS,LIGHT,16,12,45.0,2
124,2,2,5,2,20.0,18.0,17.0,13.0,NS,LIGHT,17,11,50.0,1
125,2,2,5,2,22.0,20.0,17.4,13.4,NS,LIGHT,18,11,55.0,1
126,2,2,5,2,24.0,22.0,17.8,13.8,NS,LIGHT,19,12,60.0,0
127,2,2,4,2,26.0,24.0,17.0,14.2,NS,LIGHT,20,12,65.0,0
128,2,2,5,2,28.0,26.0,18.6,14.6,NS,LIGHT,21,13,70.0,0
129,2,2,6,2,30.0,28.0,20.2,15.0,NS,MEDIUM,22,14,75.0,0
130,2,2,4,2,32.0,30.0,18.2,15.4,NS,LIGHT,23,13,81.0,1
131,3,2,6,2,35.0,32.0,24.7,15.8,NS,MEDIUM,24,15,88.0,0
132,3,2,6,2,38.0,34.0,25.3,16.2,NS,MEDIUM,25,14,95.0,1
133,3,2,5,2,41.0,36.0,24.7,16.6,NS,MEDIUM,26,15,102.0,0
134,4,2,6,2,45.0,38.0,30.2,17.0,NS,MEDIUM,27,15,110.0,1
135,5,2,6,2,49.0,40.0,34.5,17.4,NS,MEDIUM,28,14,118.0,2
136,3,2,5,2,50.0,42.0,26.5,17.8,NS,MEDIUM,29,14,123.0,0
137,3,2,6,2,53.0,44.0,28.3,18.2,NS,MEDIUM,30,13,122.0,2
138,2,2,6,2,48.0,46.0,23.8,18.6,NS,MEDIUM,31,13,120.0,0
139,2,2,7,4,50.0,48.0,25.4,21.4,EW,MEDIUM,0,14,125.0,2
140,3,0,7,4,53.0,0.0,29.5,4.8,EW,VERY_LIGHT,1,14,53.0,0
141,2,0,8,2,28.0,0.0,22.2,2.4,EW,VERY_LIGHT,2,14,28.0,1
142,2,0,8,0,4.0,0,17.4,0.0,EW,EMPTY,3,14,4.0,0
143,4,0,8,0,8.0,0,25.2,0.0,EW,EMPTY,4,14,8.0,0
144,6,0,8,0,14.0,0,33.4,0.0,EW,EMPTY,5,14,15.0,0
145,7,0,8,0,21.0,0,38.3,0.0,EW,EMPTY,6,14,23.0,0
146,8,0,8,0,29.0,0,43.4,0.0,EW,EMPTY,7,13,29.0,1
147,8,0,8,0,37.0,0,45.0,0.0,EW,EMPTY,8,13,37.0,0
148,8,0,8,0,45.0,0,46.6,0.0,EW,EMPTY,9,13,45.0,0
149,8,0,8,0,53.0,0,48.2,0.0,EW,EMPTY,10,11,53.0,2
150,8,0,8,0,61.0,0,49.8,0.0,EW,EMPTY,11,11,61.0,0
151,8,0,8,0,69.0,0,51.4,0.0,EW,EMPTY,12,10,69.0,1
152,8,0,8,0,77.0,0,53.0,0.0,EW,EMPTY,13,9,77.0,1
153,8,0,8,0,85.0,0,54.6,0.0,EW,EMPTY,14,9,85.0,0
154,8,0,8,0,93.0,0,56.2,0.0,NS,HEAVY,0,9,93.0,0
155,4,0,7,0,47.0,0,31.8,0.0,NS,MEDIUM,1,8,47.0,1
156,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,2,8,0.0,0
157,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,3,8,0.0,0
158,0,0,6,0,0.0,0,7.2,0.0,NS,VERY_LIGHT,4,10,0.0,0
159,0,0,6,0,0.0,0,7.2,0.0,NS,VERY_LIGHT,5,10,2.0,0
160,0,0,5,0,0.0,0,6.0,0.0,NS,VERY_LIGHT,6,11,4.0,0
161,1,0,5,0,1.0,0,9.7,0.0,NS,LIGHT,7,11,7.0,0
162,3,0,7,0,4.0,0,19.7,0.0,NS,LIGHT,8,13,12.0,0
163,3,0,6,0,7.0,0,19.1,0.0,NS,LIGHT,9,13,17.0,0
164,4,0,5,0,11.0,0,22.2,0.0,NS,MEDIUM,10,12,23.0,1
165,4,0,5,0,15.0,0,23.0,0.0,NS,MEDIUM,11,11,29.0,2
166,4,0,6,0,19.0,0,25.0,0.0,NS,MEDIUM,12,12,35.0,0
167,4,0,6,4,23.0,0.0,25.8,4.8,NS,MEDIUM,13,16,32.0,1
168,3,0,5,4,19.0,0.0,20.3,4.8,NS,MEDIUM,14,15,29.0,1
169,2,0,6,6,14.0,0.0,17.0,7.2,NS,LIGHT,15,17,14.0,1
170,1,0,5,6,7.0,0.0,10.9,7.2,NS,LIGHT,16,16,7.0,1
171,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,17,15,1.0,1
172,0,4,3,6,0.0,5.0,3.6,22.2,NS,VERY_LIGHT,18,16,5.0,0
173,0,5,5,6,0.0,10.0,6.0,26.7,NS,VERY_LIGHT,19,18,11.0,0
174,0,6,5,6,0.0,16.0,6.0,31.4,EW,MEDIUM,0,17,18.0,1
175,1,2,7,6,1.0,6.0,12.1,15.4,EW,LIGHT,1,18,11.0,1
176,3,2,8,4,4.0,2.0,20.9,12.2,EW,LIGHT,2,19,11.0,0
177,3,2,8,4,7.0,4.0,21.5,12.6,EW,LIGHT,3,19,13.0,0
178,5,3,8,4,9.0,7.0,28.9,16.7,EW,LIGHT,4,18,19.0,1
179,5,3,8,3,11.0,7.0,29.3,15.5,EW,LIGHT,5,17,27.0,1
180,7,2,8,3,18.0,8.0,37.7,12.2,EW,LIGHT,6,17,33.0,0
181,7,2,8,3,25.0,10.0,39.1,12.6,EW,LIGHT,7,17,45.0,0
182,8,2,8,3,33.0,12.0,44.2,13.0,EW,LIGHT,8,17,51.0,0
183,7,2,8,3,35.0,14.0,41.1,13.4,EW,LIGHT,9,17,57.0,0
184,6,1,8,2,37.0,7.0,38.0,7.3,EW,VERY_LIGHT,10,16,54.0,1
185,7,0,8,1,44.0,0.0,42.9,1.2,EW,VERY_LIGHT,11,16,56.0,0
186,7,0,8,1,51.0,0.0,44.3,1.2,EW,VERY_LIGHT,12,16,65.0,0
187,7,0,8,1,58.0,0.0,45.7,1.2,EW,VERY_LIGHT,13,15,74.0,1
188,8,0,8,1,66.0,0.0,50.8,1.2,EW,VERY_LIGHT,14,15,74.0,0
189,8,0,8,0,74.0,0,52.4,0.0,NS,HEAVY,0,15,83.0,0
190,4,0,8,0,37.0,0,31.0,0.0,NS,MEDIUM,1,13,47.0,2
191,1,0,6,0,1.0,0,10.9,0.0,NS,LIGHT,2,12,1.0,1
192,1,0,6,0,2.0,0,11.1,0.0,NS,LIGHT,3,12,2.0,0
193,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,4,12,0.0,0
194,0,0,5,0,0.0,0,6.0,0.0,NS,VERY_LIGHT,5,11,1.0,2
195,0,0,5,2,0.0,0.0,6.0,2.4,NS,VERY_LIGHT,6,14,2.0,0
196,0,0,6,2,0.0,0.0,7.2,2.4,NS,VERY_LIGHT,7,15,3.0,0
197,1,0,6,2,1.0,0.0,10.9,2.4,NS,LIGHT,8,14,5.0,1
198,2,0,3,2,3.0,0.0,11.2,2.4,NS,LIGHT,9,14,8.0,0
199,2,0,4,2,5.0,0.0,12.8,2.4,NS,LIGHT,10,14,11.0,1
200,2,2,6,2,7.0,2.0,15.6,9.8,NS,LIGHT,11,15,16.0,1
201,2,2,5,2,9.0,4.0,14.8,10.2,NS,LIGHT,12,14,22.0,1
202,2,2,5,2,11.0,6.0,15.2,10.6,NS,LIGHT,13,14,28.0,1
203,3,2,6,2,14.0,8.0,20.5,11.0,NS,MEDIUM,14,13,32.0,2
204,3,2,6,2,16.0,10.0,20.9,11.4,NS,MEDIUM,15,14,37.0,0
205,2,2,6,2,17.0,12.0,17.6,11.8,NS,LIGHT,16,13,41.0,1
206,2,2,4,2,19.0,14.0,15.6,12.2,NS,LIGHT,17,12,46.0,1
207,2,2,4,2,21.0,16.0,16.0,12.6,NS,LIGHT,18,12,51.0,1
208,2,2,5,2,23.0,18.0,17.6,13.0,NS,LIGHT,19,12,56.0,1
209,2,2,5,2,25.0,20.0,18.0,13.4,NS,LIGHT,20,13,61.0,0
210,2,2,6,2,27.0,22.0,19.6,13.8,NS,LIGHT,21,14,67.0,0
211,2,2,6,2,29.0,24.0,20.0,14.2,NS,LIGHT,22,14,73.0,1
212,2,2,5,2,31.0,26.0,19.2,14.6,NS,LIGHT,23,13,79.0,1
213,2,2,5,2,33.0,28.0,19.6,15.0,NS,LIGHT,24,13,85.0,1
214,2,2,6,2,35.0,30.0,21.2,15.4,NS,MEDIUM,25,14,91.0,0
215,3,2,5,2,38.0,32.0,24.1,15.8,NS,MEDIUM,26,13,98.0,1
216,3,2,7,2,41.0,34.0,27.1,16.2,NS,MEDIUM,27,15,105.0,0
217,4,2,6,2,45.0,36.0,30.2,16.6,NS,MEDIUM,28,14,113.0,1
218,4,2,5,2,49.0,38.0,29.8,17.0,NS,MEDIUM,29,14,121.0,0
219,4,2,7,2,53.0,40.0,33.0,17.4,NS,MEDIUM,30,15,119.0,1
220,3,2,6,2,51.0,42.0,27.9,17.8,NS,MEDIUM,31,15,120.0,0
221,2,2,6,2,49.0,44.0,24.0,18.2,EW,LIGHT,0,13,121.0,2
