step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
120,6,0,6,1,49.0,0.0,38.0,1.2,NS,MEDIUM,0,9,49.0,1
121,4,0,6,1,30.0,0.0,27.2,1.2,NS,MEDIUM,1,9,30.0,0
122,2,0,4,1,12.0,0.0,14.2,1.2,NS,LIGHT,2,8,12.0,1
123,0,1,4,1,0.0,1.0,4.8,4.9,NS,VERY_LIGHT,3,8,1.0,0
124,0,1,4,1,0.0,2.0,4.8,5.1,NS,VERY_LIGHT,4,7,2.0,1
125,0,1,4,2,0.0,3.0,4.8,6.5,NS,VERY_LIGHT,5,8,3.0,0
126,0,1,2,2,0.0,4.0,2.4,6.7,NS,VERY_LIGHT,6,8,4.0,0
127,0,1,4,3,0.0,5.0,4.8,8.1,NS,VERY_LIGHT,7,11,5.0,0
128,0,1,4,3,0.0,6.0,4.8,8.3,NS,VERY_LIGHT,8,11,6.0,0
129,0,1,2,4,0.0,7.0,2.4,9.7,NS,VERY_LIGHT,9,12,7.0,0
130,0,3,3,5,0.0,9.0,3.6,18.3,NS,VERY_LIGHT,10,13,9.0,1
131,0,2,4,5,0.0,11.0,4.8,15.2,NS,VERY_LIGHT,11,13,11.0,1
132,0,3,2,5,0.0,14.0,2.4,19.3,NS,VERY_LIGHT,12,13,14.0,0
133,0,3,3,5,0.0,17.0,3.6,19.9,NS,VERY_LIGHT,13,12,17.0,2
134,0,4,3,5,0.0,21.0,3.6,24.2,NS,VERY_LIGHT,14,13,21.0,0
135,0,4,2,5,0.0,25.0,2.4,25.0,EW,MEDIUM,0,11,25.0,2
136,0,2,3,5,0.0,8.0,3.6,14.6,EW,LIGHT,1,12,9.0,0
137,0,1,4,4,0.0,4.0,4.8,9.1,EW,LIGHT,2,11,4.0,2
138,0,1,4,4,0.0,1.0,4.8,8.5,EW,LIGHT,3,11,1.0,0
139,1,1,4,4,1.0,2.0,8.5,8.7,EW,LIGHT,4,11,3.0,0
140,1,1,4,3,2.0,1.0,8.7,7.3,EW,VERY_LIGHT,5,11,3.0,0
141,1,1,4,2,3.0,1.0,8.9,6.1,EW,VERY_LIGHT,6,10,4.0,1
142,3,0,5,2,6.0,0.0,17.7,2.4,EW,VERY_LIGHT,7,11,6.0,0
143,4,0,5,2,10.0,0.0,22.0,2.4,EW,VERY_LIGHT,8,11,10.0,0
144,4,0,5,2,14.0,0.0,22.8,2.4,EW,VERY_LIGHT,9,11,14.0,0
145,4,0,5,1,18.0,0.0,23.6,1.2,EW,VERY_LIGHT,10,10,18.0,1
146,6,0,6,2,23.0,0.0,32.8,2.4,EW,VERY_LIGHT,11,12,23.0,0
147,5,0,6,2,28.0,0.0,30.3,2.4,EW,VERY_LIGHT,12,11,28.0,1
148,5,0,6,1,33.0,0.0,31.3,1.2,EW,VERY_LIGHT,13,11,33.0,0
149,5,0,6,2,38.0,0.0,32.3,2.4,EW,VERY_LIGHT,14,11,38.0,1
150,6,0,6,2,44.0,0.0,37.0,2.4,NS,MEDIUM,0,10,44.0,1
151,4,0,6,2,27.0,0.0,26.6,2.4,NS,MEDIUM,1,9,27.0,1
152,2,1,4,2,10.0,1.0,13.8,6.1,NS,LIGHT,2,9,11.0,0
153,0,1,4,2,0.0,2.0,4.8,6.3,NS,VERY_LIGHT,3,8,2.0,1
154,0,2,4,2,0.0,4.0,4.8,10.2,NS,VERY_LIGHT,4,8,4.0,0
155,0,2,4,2,0.0,6.0,4.8,10.6,NS,VERY_LIGHT,5,8,6.0,0
156,0,2,3,2,0.0,8.0,3.6,11.0,NS,VERY_LIGHT,6,9,8.0,0
157,0,2,4,2,0.0,10.0,4.8,11.4,NS,VERY_LIGHT,7,10,10.0,0
158,0,2,4,2,0.0,12.0,4.8,11.8,NS,VERY_LIGHT,8,10,12.0,0
159,0,2,2,2,0.0,14.0,2.4,12.2,NS,VERY_LIGHT,9,10,14.0,0
160,0,2,4,2,0.0,16.0,4.8,12.6,NS,VERY_LIGHT,10,10,16.0,2
161,0,2,4,2,0.0,18.0,4.8,13.0,NS,VERY_LIGHT,11,10,18.0,0
162,0,2,2,2,0.0,20.0,2.4,13.4,NS,VERY_LIGHT,12,10,20.0,0
163,0,2,4,2,0.0,22.0,4.8,13.8,NS,VERY_LIGHT,13,10,22.0,2
164,0,2,2,2,0.0,24.0,2.4,14.2,NS,VERY_LIGHT,14,10,24.0,0
165,0,2,2,2,0.0,26.0,2.4,14.6,EW,LIGHT,0,8,26.0,2
166,0,1,2,2,0.0,15.0,2.4,8.9,EW,LIGHT,1,8,15.0,0
167,0,4,4,4,0.0,17.0,4.8,22.2,EW,MEDIUM,2,10,17.0,2
168,0,2,4,4,0.0,19.0,4.8,15.6,EW,LIGHT,3,10,19.0,0
169,1,1,4,3,1.0,18.0,8.5,10.7,EW,LIGHT,4,10,19.0,0
170,1,0,4,2,2.0,0.0,8.7,2.4,EW,VERY_LIGHT,5,10,2.0,0
171,2,0,4,2,4.0,0.0,12.6,2.4,EW,VERY_LIGHT,6,10,4.0,0
172,3,0,4,2,7.0,0.0,16.7,2.4,EW,VERY_LIGHT,7,10,7.0,0
173,3,0,4,3,10.0,0.0,17.3,3.6,EW,VERY_LIGHT,8,11,10.0,0
174,4,0,4,3,14.0,0.0,21.6,3.6,EW,VERY_LIGHT,9,10,14.0,1
175,4,0,4,1,18.0,0.0,22.4,1.2,EW,VERY_LIGHT,10,10,18.0,0
176,4,0,4,2,22.0,0.0,23.2,2.4,EW,VERY_LIGHT,11,10,22.0,1
