step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
294,6,3,EW_GREEN,14,133.0,0
295,6,3,EW_GREEN,14,143.0,0
296,6,3,EW_GREEN,14,153.0,0
297,6,3,EW_GREEN,13,163.0,1
298,6,3,EW_GREEN,13,173.0,0
299,6,3,EW_GREEN,12,183.0,1
300,6,3,NS_GREEN,12,193.0,0
301,4,3,NS_GREEN,12,148.0,0
302,2,3,NS_GREEN,12,102.0,0
303,0,3,NS_GREEN,11,39.0,1
304,0,2,NS_GREEN,11,27.0,0
305,0,1,NS_GREEN,10,15.0,1
306,0,0,NS_GREEN,11,3.0,0
307,1,1,NS_GREEN,11,6.0,0
308,3,1,NS_GREEN,13,10.0,0
309,2,2,NS_GREEN,13,15.0,0
310,3,3,NS_GREEN,13,22.0,1
311,3,3,NS_GREEN,12,29.0,1
312,3,4,NS_GREEN,12,37.0,0
313,3,4,NS_GREEN,14,45.0,0
314,3,4,NS_GREEN,13,53.0,1
315,3,4,NS_GREEN,14,61.0,0
316,3,4,NS_GREEN,14,69.0,1
317,3,5,NS_GREEN,15,79.0,0
318,3,5,NS_GREEN,14,89.0,1
319,4,5,NS_GREEN,15,84.0,0
320,3,6,NS_GREEN,15,81.0,0
321,3,6,NS_GREEN,15,78.0,0
322,2,7,NS_GREEN,15,76.0,0
323,3,7,NS_GREEN,15,87.0,0
324,3,7,NS_GREEN,15,98.0,0
325,3,7,NS_GREEN,15,109.0,0
326,3,7,NS_GREEN,15,120.0,0
327,3,7,NS_GREEN,16,131.0,0
328,3,7,NS_GREEN,16,142.0,0
329,3,7,NS_GREEN,15,153.0,1
330,3,7,EW_GREEN,15,164.0,1
331,3,5,EW_GREEN,15,135.0,0
332,3,3,EW_GREEN,14,107.0,1
333,3,2,EW_GREEN,15,62.0,0
334,3,2,EW_GREEN,15,30.0,0
335,3,2,EW_GREEN,14,20.0,1
336,3,2,EW_GREEN,14,9.0,0
337,4,1,EW_GREEN,14,13.0,0
338,5,0,EW_GREEN,14,15.0,0
339,5,0,EW_GREEN,15,20.0,0
340,6,0,EW_GREEN,15,26.0,1
341,6,0,EW_GREEN,15,32.0,0
