step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
91,4,0,8,2,42.0,0.0,32.0,2.4,NS,MEDIUM,1,15,42.0,1
92,1,0,6,2,1.0,0.0,10.9,2.4,NS,LIGHT,2,14,1.0,1
93,0,1,5,3,0.0,1.0,6.0,7.3,NS,VERY_LIGHT,3,14,1.0,1
94,0,1,4,3,0.0,2.0,4.8,7.5,NS,VERY_LIGHT,4,13,2.0,1
95,0,2,5,3,0.0,4.0,6.0,11.4,NS,VERY_LIGHT,5,14,4.0,0
96,0,2,5,4,0.0,6.0,6.0,13.0,NS,VERY_LIGHT,6,15,6.0,0
97,0,3,7,4,0.0,9.0,8.4,17.1,NS,LIGHT,7,17,9.0,0
98,0,3,5,4,0.0,12.0,6.0,17.7,NS,VERY_LIGHT,8,17,12.0,0
99,0,3,3,4,0.0,15.0,3.6,18.3,NS,VERY_LIGHT,9,16,15.0,1
100,0,3,4,4,0.0,18.0,4.8,18.9,NS,VERY_LIGHT,10,16,18.0,1
101,0,4,3,4,0.0,22.0,3.6,23.2,NS,VERY_LIGHT,11,17,22.0,0
102,0,5,4,5,0.0,26.0,4.8,28.7,NS,VERY_LIGHT,12,18,26.0,1
103,1,4,4,5,1.0,30.0,8.5,26.0,NS,LIGHT,13,15,33.0,3
104,1,4,3,5,2.0,34.0,7.5,26.8,NS,VERY_LIGHT,14,15,40.0,1
105,2,4,4,5,4.0,38.0,12.6,27.6,EW,MEDIUM,0,15,48.0,1
106,2,1,5,5,6.0,12.0,14.2,11.9,EW,LIGHT,1,15,26.0,1
107,3,3,6,5,9.0,3.0,19.5,17.1,EW,LIGHT,2,15,17.0,1
108,2,4,7,7,6.0,6.0,16.6,23.6,EW,MEDIUM,3,17,12.0,1
109,2,3,7,6,4.0,7.0,16.2,19.1,EW,LIGHT,4,16,11.0,1
110,3,2,7,4,7.0,3.0,20.3,12.4,EW,LIGHT,5,16,10.0,0
111,4,1,8,4,11.0,3.0,25.8,8.9,EW,LIGHT,6,17,14.0,0
112,5,0,8,7,16.0,0.0,30.3,8.4,EW,LIGHT,7,20,16.0,0
113,7,0,8,7,23.0,0.0,38.7,8.4,EW,LIGHT,8,20,23.0,0
114,7,0,8,6,30.0,0.0,40.1,7.2,EW,VERY_LIGHT,9,20,30.0,0
115,8,0,8,4,38.0,0.0,45.2,4.8,EW,VERY_LIGHT,10,20,38.0,0
116,8,0,8,2,46.0,0.0,46.8,2.4,EW,VERY_LIGHT,11,19,46.0,1
117,8,0,8,3,54.0,0.0,48.4,3.6,EW,VERY_LIGHT,12,19,54.0,1
118,8,0,8,2,62.0,0.0,50.0,2.4,EW,VERY_LIGHT,13,19,62.0,0
119,8,0,8,1,70.0,0.0,51.6,1.2,EW,VERY_LIGHT,14,18,71.0,1
120,8,0,8,2,78.0,0.0,53.2,2.4,NS,HEAVY,0,16,80.0,3
121,4,0,8,3,40.0,0.0,31.6,3.6,NS,MEDIUM,1,16,43.0,1
122,0,0,5,3,0.0,0.0,6.0,3.6,NS,VERY_LIGHT,2,16,0.0,0
123,0,1,4,3,0.0,1.0,4.8,7.3,NS,VERY_LIGHT,3,14,1.0,2
124,0,1,5,3,0.0,2.0,6.0,7.5,NS,VERY_LIGHT,4,15,2.0,0
125,0,2,6,3,0.0,4.0,7.2,11.4,NS,VERY_LIGHT,5,14,4.0,2
126,0,3,6,3,0.0,7.0,7.2,15.5,NS,VERY_LIGHT,6,15,9.0,0
127,1,3,6,3,1.0,10.0,10.9,16.1,NS,LIGHT,7,15,15.0,0
128,3,3,6,3,4.0,13.0,18.5,16.7,NS,LIGHT,8,15,23.0,0
129,4,3,4,3,8.0,16.0,20.4,17.3,NS,MEDIUM,9,14,32.0,1
130,4,4,5,4,12.0,19.0,22.4,22.6,NS,MEDIUM,10,15,41.0,1
131,4,3,6,5,16.0,22.0,24.4,20.9,NS,MEDIUM,11,17,44.0,0
132,3,3,5,5,15.0,25.0,19.5,21.5,NS,LIGHT,12,16,47.0,1
133,2,3,6,5,13.0,28.0,16.8,22.1,NS,LIGHT,13,17,49.0,0
134,2,3,5,5,15.0,31.0,16.0,22.7,NS,LIGHT,14,16,55.0,1
135,2,3,5,5,17.0,34.0,16.4,23.3,EW,MEDIUM,0,15,61.0,2
136,4,1,6,5,20.0,1.0,25.2,9.7,EW,LIGHT,1,16,32.0,0
