step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
264,6,0,6,4,24.0,0.0,33.0,4.8,EW,VERY_LIGHT,9,15,24.0,1
265,6,0,6,4,30.0,0.0,34.2,4.8,EW,VERY_LIGHT,10,14,30.0,2
266,6,0,6,4,36.0,0.0,35.4,4.8,EW,VERY_LIGHT,11,14,36.0,0
267,6,0,6,3,42.0,0.0,36.6,3.6,EW,VERY_LIGHT,12,15,42.0,0
268,6,0,6,4,48.0,0.0,37.8,4.8,EW,VERY_LIGHT,13,15,48.0,1
269,6,0,6,3,54.0,0.0,39.0,3.6,EW,VERY_LIGHT,14,14,54.0,1
270,6,0,6,3,60.0,0.0,40.2,3.6,NS,HEAVY,0,14,60.0,1
271,4,0,6,4,41.0,0.0,29.4,4.8,NS,MEDIUM,1,14,41.0,1
272,2,0,4,5,21.0,0.0,16.0,6.0,NS,LIGHT,2,14,21.0,1
273,0,1,4,5,0.0,1.0,4.8,9.7,NS,VERY_LIGHT,3,13,1.0,1
274,0,1,4,6,0.0,2.0,4.8,11.1,NS,VERY_LIGHT,4,14,2.0,0
275,0,1,4,6,0.0,3.0,4.8,11.3,NS,VERY_LIGHT,5,14,3.0,0
276,0,2,4,6,0.0,5.0,4.8,15.2,NS,VERY_LIGHT,6,15,5.0,0
277,0,3,3,7,0.0,8.0,3.6,20.5,NS,VERY_LIGHT,7,15,8.0,1
278,0,4,4,7,0.0,12.0,4.8,24.8,NS,VERY_LIGHT,8,16,12.0,0
279,0,4,3,7,0.0,16.0,3.6,25.6,NS,VERY_LIGHT,9,16,16.0,0
280,0,6,3,7,0.0,22.0,3.6,33.8,NS,VERY_LIGHT,10,16,22.0,1
281,0,7,4,7,0.0,29.0,4.8,38.7,NS,VERY_LIGHT,11,15,29.0,2
282,0,7,3,7,0.0,36.0,3.6,40.1,NS,VERY_LIGHT,12,15,36.0,0
283,0,7,3,7,0.0,43.0,3.6,41.5,NS,VERY_LIGHT,13,14,43.0,2
